,error_down,error_up,error_stay,mean_dist,total_params,file_name
111,0,0,1,132.1995416848194,"10,803",208020222
112,0,0,0,133.96255134330107,"5,163",208040111
113,0,0,0,132.63359285863282,"5,163",208040111
114,0,0,0,135.05715713577808,"5,163",208040111
115,0,0,0,134.78483228522845,"5,163",208040111
116,0,0,0,131.57449949539065,"13,703",208040222
117,0,0,0,132.16819450188592,"13,703",208040222
118,1,0,0,131.3647422538723,"13,703",208040222
119,0,0,1,131.0663482393752,"13,703",208040222
120,0,0,0,133.12701473600845,"6,843",208060111
121,0,0,0,133.7812669042383,"6,843",208060111
122,0,0,0,133.51152485512793,"6,843",208060111
123,0,0,1,134.45881253466004,"6,843",208060111
124,1,0,0,131.38526246568273,"17,403",208060222
125,1,0,0,132.39423404238374,"17,403",208060222
126,0,0,0,132.86158785219254,"17,403",208060222
127,0,1,1,132.0508789758024,"17,403",208060222
128,0,0,0,134.32622074958226,"8,523",208080111
129,1,0,0,134.46342204109442,"8,523",208080111
130,1,0,0,133.45901216087236,"8,523",208080111
131,0,0,0,133.8466934069983,"8,523",208080111
132,0,0,0,131.6917305891912,"21,903",208080222
133,2,0,1,130.73653613100853,"21,903",208080222
134,0,0,1,132.09162682155042,"21,903",208080222
135,2,0,0,130.64442014883141,"21,903",208080222
136,0,0,0,134.42105018493902,"1,543",402020111
137,0,0,0,133.6549095410518,"1,543",402020111
138,1,0,1,134.20279297491564,"1,543",402020111
139,0,0,0,134.42657750980504,"1,543",402020111
140,1,0,0,132.1286742551108,"4,023",402020222
141,0,0,0,131.7504300048205,"4,023",402020222
142,0,1,1,131.54418244323824,"4,023",402020222
143,1,1,0,130.40001961897002,"4,023",402020222
144,0,0,1,132.78407550294915,"2,023",402040111
145,0,0,0,133.5497427446207,"2,023",402040111
146,0,0,0,133.5908729032369,"2,023",402040111
147,0,0,0,134.80135854034586,"2,023",402040111
148,0,0,0,131.34719529043002,"5,723",402040222
149,2,0,0,133.21525852546222,"5,723",402040222
150,0,0,0,130.28601296704545,"5,723",402040222
151,1,1,0,131.2714277792184,"5,723",402040222
152,0,0,0,132.39179731880557,"2,503",402060111
153,0,0,0,134.00346673293166,"2,503",402060111
154,0,0,0,133.4026657692111,"2,503",402060111
155,0,0,0,133.02911095873708,"2,503",402060111
156,1,0,0,132.10363601408056,"8,223",402060222
