,std_error_down,std_error_up,std_error_stay,std_mean_dist,sum_stds,mean_error_down,mean_error_up,mean_error_stay,mean_mean_dist,num_params,hyper_params
0,0.0,0.0,0.0,0.9596356749534607,0.41272684931755066,0.0,0.0,0.0,0.9869988560676575,0.031606584787368774,101010111
1,0.0,0.0,0.397359699010849,0.2798457741737366,0.27698296308517456,0.0,0.0,0.20000000298023224,0.9619703888893127,0.06492982059717178,101010222
2,0.0,0.0,0.0,0.46255767345428467,0.19894005358219147,0.0,0.0,0.0,0.9722451567649841,0.10330203175544739,202020111
3,0.0,0.5,0.397359699010849,0.4453066885471344,0.5047704577445984,0.0,0.3333333432674408,0.20000000298023224,0.9635488986968994,0.23053620755672455,202020222
4,0.0,0.0,0.397359699010849,0.7056853175163269,0.4601310193538666,0.0,0.0,0.20000000298023224,0.974768340587616,0.15177218616008759,202040111
5,0.4330126941204071,0.5,0.45883145928382874,0.3625728189945221,0.6500425934791565,0.25,0.3333333432674408,0.4000000059604645,0.9603119492530823,0.4022013545036316,202040222
6,0.4330126941204071,0.0,0.0,0.38503244519233704,0.32222238183021545,0.25,0.0,0.0,0.9788026809692383,0.20024235546588898,202060111
7,0.0,0.5,0.0,0.3646584749221802,0.3134598135948181,0.0,0.3333333432674408,0.0,0.9657012224197388,0.654650092124939,202060222
8,0.0,0.0,0.0,0.5271114110946655,0.22670377790927887,0.0,0.0,0.0,0.9748668670654297,0.24871250987052917,202080111
9,0.4330126941204071,0.0,0.0,0.6208420991897583,0.42364105582237244,0.25,0.0,0.0,0.9653221368789673,0.9878824353218079,202080222
10,0.0,0.0,0.0,0.5172207951545715,0.22244994342327118,0.0,0.0,0.0,0.9786649942398071,0.18610522150993347,204020111
11,0.4330126941204071,0.0,0.0,0.2715490460395813,0.27341464161872864,0.25,0.0,0.0,0.9663987755775452,0.4365343749523163,204020222
12,0.0,0.5,0.0,0.35610315203666687,0.3097802698612213,0.0,0.3333333432674408,0.0,0.9715598225593567,0.2749671936035156,204040111
13,0.4330126941204071,0.0,0.397359699010849,0.6302074790000916,0.5842939019203186,0.25,0.0,0.20000000298023224,0.9625460505485535,0.6485913395881653,204040222
14,0.0,0.0,0.0,0.482584148645401,0.2075531780719757,0.0,0.0,0.0,0.9760221838951111,0.3638291358947754,204060111
15,0.4330126941204071,0.5,0.794719398021698,0.30584511160850525,0.7580397129058838,0.25,0.3333333432674408,0.4000000059604645,0.960910975933075,0.9414318799972534,204060222
16,0.0,0.0,0.0,1.0,0.43008702993392944,0.0,0.0,0.0,0.9750049114227295,0.45269110798835754,204080111
17,0.4330126941204071,0.5,0.0,0.9819400310516357,0.7355694770812988,0.25,0.3333333432674408,0.0,0.9628759622573853,1.3150560855865479,204080222
18,0.8660253882408142,0.0,0.0,0.5141600370407104,0.5343834161758423,0.5,0.0,0.0,0.9749439358711243,0.26890841126441956,206020111
19,0.0,0.5,0.0,0.46420374512672424,0.3562729060649872,0.0,0.3333333432674408,0.0,0.9608258605003357,0.7233161926269531,206020222
20,0.0,0.0,0.0,0.6662852168083191,0.28656062483787537,0.0,0.0,0.0,0.975803017616272,0.39816218614578247,206040111
21,0.4330126941204071,0.0,0.397359699010849,0.509027898311615,0.53217613697052,0.25,0.0,0.20000000298023224,0.9619293212890625,0.9757649302482605,206040222
22,0.0,0.0,0.0,0.18255595862865448,0.0785149484872818,0.0,0.0,0.0,0.979331374168396,0.527415931224823,206060111
23,0.5,0.0,0.397359699010849,0.4736275374889374,0.5411808490753174,0.5,0.0,0.20000000298023224,0.9621099829673767,1.3089972734451294,206060222
24,0.4330126941204071,0.0,0.0,0.4233636260032654,0.3387081027030945,0.25,0.0,0.0,0.976803719997406,0.6566696763038635,206080111
25,0.0,0.0,0.0,0.8428206443786621,0.36248621344566345,0.0,0.0,0.0,0.9585112929344177,1.7230132818222046,206080222
26,0.0,0.0,0.0,0.3643995225429535,0.1567234992980957,0.0,0.0,0.0,0.9779213666915894,0.35171160101890564,208020111
27,0.0,0.0,0.45883145928382874,0.16982139647006989,0.2538928687572479,0.0,0.0,0.4000000059604645,0.9630650281906128,1.090881586074829,208020222
28,0.0,0.0,0.0,0.7927476167678833,0.34095045924186707,0.0,0.0,0.0,0.977645754814148,0.5213571786880493,208040111
29,0.4330126941204071,0.0,0.397359699010849,0.33924242854118347,0.45915359258651733,0.25,0.0,0.20000000298023224,0.9589391946792603,1.3837220668792725,208040222
30,0.0,0.0,0.397359699010849,0.40871500968933105,0.3324079215526581,0.0,0.0,0.20000000298023224,0.9748035669326782,0.6910027265548706,208060111
31,0.5,0.5,0.397359699010849,0.45261460542678833,0.6887683868408203,0.5,0.3333333432674408,0.20000000298023224,0.9635286927223206,1.757346272468567,208060222
32,0.5,0.0,0.0,0.335109144449234,0.3249810039997101,0.5,0.0,0.0,0.9770210385322571,0.8606482744216919,208080111
33,1.0,0.0,0.45883145928382874,0.5196413993835449,0.766055703163147,1.0,0.0,0.4000000059604645,0.9570994973182678,2.211754083633423,208080222
34,0.4330126941204071,0.0,0.397359699010849,0.2643159329891205,0.42692869901657104,0.25,0.0,0.20000000298023224,0.9781327247619629,0.1558113694190979,402020111
35,0.5,0.5773502588272095,0.397359699010849,0.5421196818351746,0.7514932751655579,0.5,0.6666666865348816,0.20000000298023224,0.9583005309104919,0.4062405228614807,402020222
36,0.0,0.0,0.397359699010849,0.6071988940238953,0.4177732765674591,0.0,0.0,0.20000000298023224,0.9745255708694458,0.2042815238237381,402040111
