,std_error_down,std_error_up,std_error_stay,std_mean_dist,sum_stds,mean_error_down,mean_error_up,mean_error_stay,mean_mean_dist,num_params,hyper_params
0,0.0,0.0,0.0,1.14104425907135,1.14104425907135,0.0,0.0,0.0,135.39254760742188,313.0,101010111
1,0.0,0.0,0.4330126941204071,0.33274754881858826,0.7657602429389954,0.0,0.0,0.25,131.95924377441406,643.0,101010222
2,0.0,0.0,0.0,0.5499991178512573,0.5499991178512573,0.0,0.0,0.0,133.3686981201172,1023.0,202020111
3,0.0,0.4330126941204071,0.4330126941204071,0.5294870138168335,1.395512342453003,0.0,0.25,0.25,132.17578125,2283.0,202020222
4,0.0,0.0,0.4330126941204071,0.8390873670578003,1.2721000909805298,0.0,0.0,0.25,133.71481323242188,1503.0,202040111
5,0.4330126941204071,0.4330126941204071,0.5,0.43111321330070496,1.7971386909484863,0.25,0.25,0.5,131.73175048828125,3983.0,202040222
6,0.4330126941204071,0.0,0.0,0.4578185975551605,0.8908312916755676,0.25,0.0,0.0,134.2682342529297,1983.0,202060111
7,0.0,0.4330126941204071,0.0,0.43359315395355225,0.8666058778762817,0.0,0.25,0.0,132.4710235595703,6483.0,202060222
8,0.0,0.0,0.0,0.6267560124397278,0.6267560124397278,0.0,0.0,0.0,133.72833251953125,2463.0,202080111
9,0.4330126941204071,0.0,0.0,0.7382054328918457,1.1712181568145752,0.25,0.0,0.0,132.4190216064453,9783.0,202080222
10,0.0,0.0,0.0,0.6149956583976746,0.6149956583976746,0.0,0.0,0.0,134.2493438720703,1843.0,204020111
11,0.4330126941204071,0.0,0.0,0.32288241386413574,0.7558951377868652,0.25,0.0,0.0,132.56671142578125,4323.0,204020222
12,0.0,0.4330126941204071,0.0,0.4234205186367035,0.8564332127571106,0.0,0.25,0.0,133.27468872070312,2723.0,204040111
13,0.4330126941204071,0.0,0.4330126941204071,0.7493412494659424,1.6153666973114014,0.25,0.0,0.25,132.0382080078125,6423.0,204040222
14,0.0,0.0,0.0,0.5738113522529602,0.5738113522529602,0.0,0.0,0.0,133.88681030273438,3603.0,204060111
15,0.4330126941204071,0.4330126941204071,0.8660253882408142,0.3636617660522461,2.095712661743164,0.25,0.25,0.5,131.8139190673828,9323.0,204060222
16,0.0,0.0,0.0,1.1890389919281006,1.1890389919281006,0.0,0.0,0.0,133.7472686767578,4483.0,204080111
17,0.4330126941204071,0.4330126941204071,0.0,1.1675649881362915,2.033590316772461,0.25,0.25,0.0,132.08346557617188,13023.0,204080222
18,0.8660253882408142,0.0,0.0,0.6113563179969788,1.477381706237793,0.5,0.0,0.0,133.73890686035156,2663.0,206020111
19,0.0,0.4330126941204071,0.0,0.5519563555717468,0.9849690198898315,0.0,0.25,0.0,131.80224609375,7163.0,206020222
20,0.0,0.0,0.0,0.7922390699386597,0.7922390699386597,0.0,0.0,0.0,133.85675048828125,3943.0,206040111
21,0.4330126941204071,0.0,0.4330126941204071,0.605254054069519,1.4712793827056885,0.25,0.0,0.25,131.95361328125,9663.0,206040222
22,0.0,0.0,0.0,0.21706615388393402,0.21706615388393402,0.0,0.0,0.0,134.34075927734375,5223.0,206060111
23,0.5,0.0,0.4330126941204071,0.5631616115570068,1.4961743354797363,0.5,0.0,0.25,131.9783935546875,12963.0,206060222
24,0.4330126941204071,0.0,0.0,0.5033958554267883,0.936408519744873,0.25,0.0,0.0,133.9940185546875,6503.0,206080111
25,0.0,0.0,0.0,1.002146601676941,1.002146601676941,0.0,0.0,0.0,131.4847412109375,17063.0,206080222
26,0.0,0.0,0.0,0.4332852363586426,0.4332852363586426,0.0,0.0,0.0,134.1473388671875,3483.0,208020111
27,0.0,0.0,0.5,0.20192426443099976,0.7019242644309998,0.0,0.0,0.5,132.10940551757812,10803.0,208020222
28,0.0,0.0,0.0,0.9426078200340271,0.9426078200340271,0.0,0.0,0.0,134.10952758789062,5163.0,208040111
29,0.4330126941204071,0.0,0.4330126941204071,0.40337246656417847,1.2693978548049927,0.25,0.0,0.25,131.54344177246094,13703.0,208040222
30,0.0,0.0,0.4330126941204071,0.48597806692123413,0.9189907312393188,0.0,0.0,0.25,133.7196502685547,6843.0,208060111
31,0.5,0.4330126941204071,0.4330126941204071,0.538176417350769,1.904201865196228,0.5,0.25,0.25,132.17300415039062,17403.0,208060222
32,0.5,0.0,0.0,0.3984578549861908,0.8984578847885132,0.5,0.0,0.0,134.02383422851562,8523.0,208080111
33,1.0,0.0,0.5,0.6178739070892334,2.1178739070892334,1.0,0.0,0.5,131.29107666015625,21903.0,208080222
34,0.4330126941204071,0.0,0.4330126941204071,0.3142819404602051,1.180307388305664,0.25,0.0,0.25,134.17633056640625,1543.0,402020111
35,0.5,0.5,0.4330126941204071,0.6446014046669006,2.0776140689849854,0.5,0.5,0.25,131.45582580566406,4023.0,402020222
36,0.0,0.0,0.4330126941204071,0.7219831347465515,1.1549957990646362,0.0,0.0,0.25,133.6815185546875,2023.0,402040111
37,0.829156219959259,0.4330126941204071,0.0,1.0592302083969116,2.321399211883545,0.75,0.25,0.0,131.52996826171875,5723.0,402040222
38,0.0,0.0,0.0,0.5849857330322266,0.5849857330322266,0.0,0.0,0.0,133.20675659179688,2503.0,402060111
39,0.4330126941204071,0.0,0.4330126941204071,0.14148211479187012,1.007507562637329,0.25,0.0,0.25,131.9314422607422,8223.0,402060222
40,0.0,0.0,0.0,0.5121535062789917,0.5121535062789917,0.0,0.0,0.0,134.41702270507812,2983.0,402080111
