,compare_sum,hyper_params
0,0.8969659568053349,101010111
1,1.1334089753416656,101010222
2,1.0043155861415594,202020111
3,1.0184570738494292,202020222
4,0.9366981127090085,202040111
5,1.0842763597796634,202040222
6,1.062784752756922,202060111
7,1.1122551820719475,202060222
8,0.9944779587630058,202080111
9,1.032117504288897,202080222
10,0.9948835450823738,204020111
11,1.1850300580426087,204020222
12,1.085562086121445,204040111
13,0.9935738754575822,204040222
14,1.0244184076636813,204060111
15,1.1898348535674548,204060222
16,0.9252730399370194,204080111
17,1.0036455913895197,204080222
18,1.001337962742042,206020111
19,1.0564149556915805,206020222
20,0.9705445080614364,206040111
21,1.0635728366889858,206040222
22,1.3839839370412264,206060111
23,1.1117240858351556,206060222
24,1.0833135139351016,206080111
25,1.057759568226088,206080222
26,1.0919323232293272,208020111
27,1.4683941305362787,208020222
28,0.9603958734443286,208040111
29,1.200298011576809,208040222
30,1.0936123887178537,208060111
31,1.1674960990973942,208060222
32,1.166091897607621,208080111
33,1.1792954086159004,208080222
34,1.1764224358988988,402020111
35,0.9917255902164857,402020222
36,0.964739291133199,402040111
37,0.9371184007365587,402040222
38,1.005386357661395,402060111
39,1.692866095090761,402060222
40,1.0461966486200727,402080111
41,1.1348214085875206,402080222
42,0.9690774002483817,404020111
43,0.9775401172207939,404020222
44,0.9604359143037763,404040111
45,0.9831960164664238,404040222
46,1.060925976412088,404060111
47,1.348448048459974,404060222
48,1.000270114559648,404080111
49,1.320999135025077,404080222
50,1.006932534841083,406020111
51,1.1666899908257582,406020222
52,1.0695903315295345,406040111
53,1.060177043333125,406040222
54,0.9588543633684883,406060111
55,1.172057805658401,406060222
56,1.0472580088485048,406080111
57,1.2275643385800088,406080222
58,1.031663199667848,408020111
59,1.1595340636924651,408020222
60,1.1277732543015573,408040111
61,1.0648891437359547,408040222
62,1.259075360825286,408060111
63,1.262010064707653,408060222
64,1.029431298274107,408080111
65,1.1361425279308235,408080222
66,0.9196587414539393,555111
67,0.9844449668538753,602020111
68,1.1047445019797975,602020222
69,1.044996489563019,602040111
70,1.014618076316658,602040222
71,1.0362842294824293,602060111
72,1.1020374624285898,602060222
73,1.1146878876518138,602080111
74,1.0202490340817127,602080222
75,0.9625991768918661,604020111
76,1.0019790489290215,604020222
77,1.2278346201565755,604040111
78,1.0918707451776253,604040222
79,1.1441484154377686,604060111
80,1.0549913241222253,604060222
81,1.1650640062048925,604080111
82,1.1826111232674812,604080222
83,0.953106535728192,606020111
84,1.062500459759886,606020222
85,1.0129659104313944,606040111
86,1.143364268892889,606040222
87,1.1072751393626867,606060111
88,1.184736916360015,606060222
89,1.1093983508055592,606080111
90,1.185729139784001,606080222
91,1.047564944460781,608020111
92,1.243313772503711,608020222
93,1.093556397952551,608040111
94,1.207133700973719,608040222
95,1.1550614936825783,608060111
96,1.1721060671144012,608060222
97,1.0245273256542713,608080111
98,1.1825852330990823,608080222
99,0.9972662968373229,802020111
100,1.073250647005016,802020222
101,0.941698832431916,802040111
102,1.265819460454057,802040222
103,0.9537400750890858,802060111
104,1.0675432901887887,802060222
105,0.9479757008811167,802080111
106,1.1262513935265364,802080222
107,1.0243270922252825,804020111
108,1.0733030558149441,804020222
109,0.9443445824722039,804040111
110,1.1529659608600993,804040222
111,1.1916931433015987,804060111
112,1.1570099780452796,804060222
113,0.9632160315240187,804080111
114,1.1688417365388628,804080222
115,1.0379552665132652,806020111
116,1.0980669897039035,806020222
117,1.0018166050686252,806040111
118,1.3547430493825812,806040222
119,1.117725875748608,806060111
120,1.1579780982373022,806060222
121,0.9836184734917575,806080111
122,1.2775655246477857,806080222
123,1.2588376582003338,808020111
124,1.2557886971261025,808020222
125,1.0517426001479975,808040111
126,1.3309912593878828,808040222
127,1.242325796830917,808060111
128,1.2764514979582056,808060222
129,1.274250717889299,808080111
130,1.2522609181439677,808080222
